FlightID,Airline,FlightNumber,Origin,Destination,ScheduledDeparture,ActualDeparture,ScheduledArrival,ActualArrival,DelayMinutes,DelayReason,Cancelled,Diverted,AircraftType,TailNumber,Distance
864483,United,3,DFW,SFO,2024-09-01 20:28,2024-09-01 20:35,2024-09-01 22:28,2024-09-01 22:47,19,Air Traffic Control,True,False,Boeing 777,N42926,2553
866373,Delta,6180,DFW,SFO,2024-09-01 03:46,2024-09-01 04:03,2024-09-01 06:46,2024-09-01 06:45,-1,,True,False,Boeing 777,N18529,1936
546109,United,8536,ATL,SEA,2024-09-01 20:41,2024-09-01 20:56,2024-09-01 22:41,2024-09-01 22:44,3,Air Traffic Control,True,True,Boeing 737,N85915,216
1344519,Delta,2483,ATL,MIA,2024-09-01 21:53,2024-09-01 22:18,2024-09-01 23:53,2024-09-02 00:22,29,Air Traffic Control,True,False,Boeing 777,N25360,2809
1304683,United,7291,LAX,SFO,2024-09-01 17:04,2024-09-01 17:10,2024-09-01 22:04,2024-09-01 22:03,-1,,False,False,Boeing 737,N45558,495
1217513,Delta,515,ORD,JFK,2024-09-01 04:11,2024-09-01 04:19,2024-09-01 06:11,2024-09-01 06:38,27,Air Traffic Control,False,False,Boeing 777,N89652,228
343039,Delta,7631,LAX,SEA,2024-09-01 20:35,2024-09-01 20:35,2024-09-02 01:35,2024-09-02 01:58,23,Air Traffic Control,True,False,Boeing 777,N58509,873
1498650,Delta,9663,LAX,JFK,2024-09-01 12:12,2024-09-01 12:42,2024-09-01 15:12,2024-09-01 15:07,-5,,True,True,Boeing 777,N42228,1785
745484,Southwest,4646,DFW,SEA,2024-09-01 14:19,2024-09-01 14:25,2024-09-01 20:19,2024-09-01 20:49,30,Maintenance,False,True,Boeing 737,N14686,513
1070346,Delta,982,JFK,BOS,2024-09-01 14:00,2024-09-01 14:24,2024-09-01 16:00,2024-09-01 16:27,27,Maintenance,False,False,Boeing 737,N86007,672
173614,American Airlines,6867,ORD,SEA,2024-09-01 20:58,2024-09-01 21:16,2024-09-01 21:58,2024-09-01 22:13,15,Air Traffic Control,True,True,Airbus A320,N65381,155
1213399,Southwest,5692,JFK,SFO,2024-09-01 11:40,2024-09-01 12:04,2024-09-01 16:40,2024-09-01 16:37,-3,,False,True,Boeing 737,N23045,1516
1476192,United,8179,JFK,SFO,2024-09-01 16:54,2024-09-01 17:03,2024-09-01 19:54,2024-09-01 19:56,2,Air Traffic Control,True,False,Airbus A320,N17677,2848
